geoid,foreign_born_rate,spanish_at_home_rate,avg_household_size
48201221701,0.425531914893617,0.8905886909372579,3.9
48201452300,0.5613718411552346,0.4197761194029851,2.65
48201520501,0.40808181591419307,0.7069693769799367,3.13
48201432706,0.5082478823004905,0.8172740888666999,3.07
48201333201,0.45461450816559057,0.6612835570469798,2.93
48201452701,0.5487319741422177,0.43337579617834393,3.19
48201413204,0.3166823751178134,0.07065750736015702,1.49
48201432102,0.5062214848610535,0.2203850509626274,2.4
48201422601,0.38202933985330073,0.630546955624355,2.4
48201552603,0.251295799821269,0.364615703335405,3.23
48201321001,0.4577540106951872,0.786204268292683,2.66
48201220100,0.2211286089238845,0.5626684636118598,2.68
48201311501,0.3246753246753247,0.6540610227761066,2.52
48201422303,0.070477427736278,0.13055028462998103,2.21
48201413206,0.3837165473049378,0.17300760913095714,1.86
48201423303,0.11927272727272727,0.07584683357879234,1.76
48201333905,0.33178654292343385,0.3409758965314521,3.26
48201533500,0.3872189349112426,0.6155778894472361,3.41
48201432804,0.6190949776230731,0.6519580805295091,2.43
48201532102,0.3473397823458283,0.6688445667125172,2.66
48201333600,0.19384902143522834,0.5555941626129256,3.2
48201420200,0.36265060240963853,0.38352027610008627,2.39
48201522201,0.41087962962962965,0.6607224508459076,3.98
48201532302,0.347757136384232,0.3637709772951629,3.13
48201531500,0.19666540356195528,0.4127557160048135,2.18
48201211101,0.2789438050101557,0.601727115716753,3.13
48201432003,0.4515031196823596,0.30565371024734983,1.65
48201521201,0.4146815751093826,0.604221635883905,2.81
48201330500,0.17581412367361873,0.4619370267038661,3.09
48201451405,0.6228226093138998,0.19400222139948167,2.11
48201231800,0.2811442633035989,0.6216125794580127,3.57
48201210900,0.12693156732891833,0.19084821428571427,2.68
48201222504,0.545808383233533,0.8426738690074275,3.55
48201333904,0.22788844621513943,0.4844511052828775,2.98
48201220701,0.2504288164665523,0.57069948964275,3.54
48201240101,0.6553722692822114,0.9426542872747132,3.12
48201240102,0.3481349911190053,0.5146699266503667,2.18
48201320601,0.4695817490494297,0.7536534446764092,2.8
48201550102,0.1411764705882353,0.301065308012969,2.19
48201521702,0.30959164292497626,0.5699860724233984,2.23
48201251200,0.11070287539936102,0.14672008012018026,2.62
48201333301,0.11671438009249065,0.25212027756360833,3.64
48201553300,0.08120531154239019,0.13511390416339356,1.93
48201311900,0.24186617556783302,0.5831168831168831,2.83
48201532101,0.22931126534970636,0.3402625820568928,2.28
48201451700,0.3215434083601286,0.19295558958652373,2.6
48201423401,0.236836584854206,0.24103267077907242,2.69
48201310300,0.1830951207491375,0.4718757953677781,1.88
48201230400,0.31156848828956707,0.5444277108433735,3.25
48201453001,0.5211090107120353,0.35077129443326627,3.56
48201541802,0.45,0.3602547770700637,2.14
48201520301,0.37494883340155544,0.5460497599301615,2.47
48201423204,0.5398034398034398,0.7466379774072082,2.43
48201452001,0.14379905808477236,0.07569913211186113,3.06
48201220900,0.1418994413407821,0.6245593419506463,2.66
48201410102,0.16557128412537916,0.16371681415929204,1.54
48201421601,0.5441988950276243,0.7610714285714286,3.31
48201530800,0.1635621331972442,0.31140939597315437,2.07
48201530101,0.3237257281553398,0.5663492063492064,2.11
48201333903,0.3478494623655914,0.6312236286919831,2.87
48201451501,0.2540214477211796,0.36814712005551703,1.59
48201220300,0.389345348529022,0.630308076602831,2.98
48201222601,0.5954164830321728,0.9157164105106594,3.67
48201310600,0.16093953892996954,0.4403236682400539,2.09
48201451407,0.115406162464986,0.13823529411764707,1.84
48201532301,0.12402428447528187,0.3179499072356215,2.39
48201333000,0.34552154195011336,0.7306996381182147,3.4
48201455300,0.5822417386126824,0.33820169712793735,2.5
48201221301,0.24827245804540968,0.741765149610259,3.62
48201451904,0.3657317411830047,0.2834556747600226,2.93
48201330102,0.251730959446093,0.43478260869565216,2.84
48201331501,0.12942210503186113,0.28354430379746837,3.11
48201241502,0.06276150627615062,0.35725763256561327,2.9
48201333205,0.5036127167630058,0.6676970633693973,2.1
48201451605,0.47798938495160787,0.1613219895287958,2.13
48201311300,0.2803398058252427,0.8124513618677043,3.34
48201221302,0.4292725173210162,0.6884503396958913,3.84
48201341001,0.1142713314875409,0.13775379079928038,1.74
48201540504,0.443075117370892,0.5267222737102255,2.84
48201541703,0.29851551956815114,0.2767241379310345,2.03
48201532003,0.4738675958188153,0.547648136835675,2.55
48201222602,0.3228448275862069,0.5515069725596041,2.2
48201210800,0.28044444444444444,0.43912448700410395,2.31
48201334001,0.26631944444444444,0.3615733736762481,2.63
48201431803,0.41812740487387773,0.2872531418312388,1.5
48201453401,0.3360813410277549,0.5257672264041691,3.63
48201550201,0.3329907502569373,0.5467625899280576,2.93
48201341002,0.21645997745208567,0.24954682779456194,2.22
48201521800,0.40947992100065833,0.4265983515259523,2.64
48201221502,0.33592956315611244,0.6098986749805144,3.18
48201220200,0.17422037422037423,0.5421360973411447,3.23
48201421602,0.5648535564853556,0.6478129713423831,2.65
48201552002,0.23896809232858113,0.16545189504373178,2.01
48201230300,0.19953596287703015,0.4011599806669889,2.82
48201530501,0.21210268948655256,0.6143031784841075,2.16
48201530502,0.32517061421116017,0.4310415808974887,2.23
48201530600,0.24158852730281302,0.4055984004570123,2.6
48201522401,0.3139631412917151,0.48271516024486855,2.46
48201340701,0.1748340990301174,0.12228036353621592,2.71
48201521501,0.570627409744129,0.7709267563527653,3.41
48201431404,0.28326810176125244,0.13368146214099216,1.45
48201411700,0.17093287827076223,0.30438842203548083,1.56
48201232600,0.3637071651090343,0.7270588235294118,2.71
48201240504,0.2918975069252078,0.3839907192575406,2.26
48201220500,0.24496937882764655,0.5634387983381272,2.15
48201431203,0.4366700715015322,0.19750283768444948,1.9
48201431304,0.32755298651252407,0.4055727554179567,1.93
48201222501,0.5253843922251233,0.9642485248177716,3.93
48201432703,0.28564453125,0.242728184553661,1.92
48201211400,0.2199953390817991,0.2577092511013216,2.43
48201221100,0.3758119393751933,0.8468321358589157,3.27
48201530400,0.15694561848408004,0.2211310531662716,3.36
48201211000,0.19474313022700118,0.36600496277915634,2.36
48201333100,0.5974208017942249,0.47047132311186823,2.44
48201511003,0.13605082053996823,0.1207977207977208,1.71
48201432006,0.6311837455830389,0.7108317214700194,2.01
48201340501,0.12226957911561001,0.16759932848349188,2.11
48201312300,0.15550676911818515,0.14994363021420518,2.31
48201520603,0.30486008836524303,0.6082751209027405,2.73
48201334002,0.17892561983471075,0.18607764390896922,2.16
48201531300,0.2595419847328244,0.3964110929853181,2.22
48201311200,0.21910236568649127,0.6939981096408318,2.73
48201321700,0.22767020612117428,0.5670485175202157,3.12
48201530701,0.21674876847290642,0.4517345399698341,2.07
48201532800,0.2726879861711322,0.4055321143928739,3.7
48201422702,0.45544267053701015,0.6232137649460484,3.07
48201240503,0.31929696082021236,0.390795631825273,2.29
48201550101,0.3691358024691358,0.5448598130841121,2.77
48201431206,0.3646437994722955,0.17833632555356074,1.74
48201240505,0.4601542416452442,0.5552325581395349,2.57
48201431303,0.291640866873065,0.09788867562380038,1.55
48201431801,0.2863387978142076,0.23730272596843616,1.73
48201422602,0.3785502331496397,0.44596988485385297,2.35
48201312603,0.35841346153846154,0.2059572301425662,1.77
48201410706,0.11607629427792915,0.13511972633979474,1.5
48201334101,0.19627537141661436,0.1031274520793633,1.92
