geoid,population,median_hh_income,poverty_total,poverty_below,total_households,snap_households
48201240600,3500.0,32641.0,3500.0,1747.0,1196.0,388.0
48201250701,7051.0,130218.0,7051.0,730.0,2255.0,303.0
48201250702,4136.0,111364.0,4093.0,219.0,1574.0,33.0
48201251402,6730.0,59179.0,6699.0,1609.0,2651.0,263.0
48201251503,2767.0,139571.0,2719.0,10.0,858.0,3.0
48201251902,7899.0,122281.0,7872.0,975.0,2411.0,271.0
48201252201,5108.0,64598.0,5108.0,55.0,1903.0,161.0
48201311600,3614.0,37955.0,3614.0,1591.0,1456.0,388.0
48201312300,2733.0,74789.0,2703.0,696.0,1180.0,295.0
48201321301,3718.0,32833.0,3687.0,1567.0,1355.0,354.0
48201321401,3726.0,52548.0,3726.0,1167.0,1074.0,269.0
48201323702,3622.0,66084.0,3622.0,417.0,1210.0,73.0
48201330801,6752.0,64430.0,6726.0,1613.0,2558.0,330.0
48201332000,5918.0,22162.0,5732.0,2681.0,1822.0,916.0
48201333502,2504.0,83269.0,2504.0,788.0,748.0,88.0
48201340203,4608.0,135756.0,4608.0,146.0,2027.0,73.0
48201342002,4221.0,81197.0,4158.0,450.0,1693.0,41.0
48201342900,6997.0,114367.0,6997.0,164.0,2403.0,99.0
48201412600,3850.0,250001.0,3850.0,90.0,1361.0,10.0
48201510100,3096.0,180817.0,3096.0,47.0,1479.0,0.0
48201510400,3852.0,218356.0,3851.0,128.0,1795.0,0.0
48201510500,5097.0,140217.0,5097.0,64.0,2644.0,46.0
48201511001,3593.0,97589.0,3517.0,220.0,1747.0,13.0
48201522201,5184.0,73152.0,5166.0,1377.0,1294.0,118.0
48201522202,4088.0,61204.0,4088.0,1116.0,1244.0,234.0
48201522301,4012.0,57438.0,3863.0,1040.0,1610.0,109.0
48201522302,3259.0,61620.0,3259.0,511.0,1486.0,62.0
48201531800,2928.0,35875.0,2928.0,1069.0,1164.0,424.0
48201531900,6140.0,40473.0,6056.0,2397.0,2053.0,662.0
48201533902,5511.0,32020.0,5511.0,1534.0,1967.0,676.0
48201534001,3341.0,68889.0,3341.0,266.0,1064.0,95.0
48201541603,6850.0,52350.0,6850.0,1898.0,2190.0,390.0
48201550601,7107.0,70445.0,7107.0,1201.0,2177.0,421.0
48201550603,5031.0,69919.0,5030.0,809.0,1461.0,207.0
48201551400,6451.0,82500.0,6451.0,208.0,2380.0,121.0
48201211900,4150.0,49202.0,4129.0,484.0,1593.0,272.0
48201221301,4052.0,69180.0,4052.0,912.0,1120.0,105.0
48201222100,4972.0,69342.0,4966.0,898.0,1406.0,187.0
48201222200,3378.0,55357.0,3378.0,1084.0,1304.0,266.0
48201222300,4725.0,39314.0,4721.0,1425.0,1404.0,250.0
48201231200,5432.0,28229.0,5432.0,2309.0,2561.0,1122.0
48201310700,3342.0,63527.0,3326.0,287.0,1559.0,96.0
48201311800,3646.0,47753.0,3646.0,957.0,1331.0,196.0
48201311900,1629.0,60238.0,1629.0,275.0,572.0,181.0
48201312000,2970.0,85536.0,1433.0,182.0,711.0,66.0
48201321002,5200.0,60607.0,5200.0,706.0,1794.0,148.0
48201321102,4274.0,93553.0,4208.0,189.0,1194.0,58.0
48201330302,5141.0,61330.0,5095.0,902.0,1576.0,326.0
48201333201,5266.0,60615.0,5266.0,1006.0,1799.0,310.0
