geoid,zero_vehicle_rate,renter_occupied_rate
48201220200,0.08870967741935484,0.4731182795698925
48201220300,0.09234411996842937,0.4664561957379637
48201221301,0.03660714285714286,0.11517857142857142
48201221302,0.0,0.39424141749723146
48201221502,0.17419354838709677,0.8978494623655914
48201222601,0.3106796116504854,1.0
48201222602,0.3124406457739791,1.0
48201230300,0.05423280423280423,0.46164021164021163
48201241502,0.09587378640776699,0.9223300970873787
48201310600,0.18148820326678766,0.5281306715063521
48201311300,0.0,0.2744939271255061
48201330102,0.10252808988764045,0.12640449438202248
48201331501,0.07934336525307797,0.19767441860465115
48201333000,0.04431599229287091,0.37475915221579964
48201333205,0.13484848484848486,0.9803030303030303
48201334001,0.12179487179487179,0.75
48201341001,0.15371102327624067,0.9446640316205533
48201341002,0.016906700062617408,0.43268628678772697
48201421602,0.27767527675276754,0.7619926199261993
48201431803,0.0932475884244373,0.9498392282958199
48201451407,0.14359504132231404,0.8822314049586777
48201451501,0.03139968068121341,0.9920170303352848
48201451605,0.0,0.9290540540540541
48201451904,0.0,0.36341463414634145
48201453401,0.02708124373119358,0.5015045135406219
48201455300,0.09926539838010925,0.8749293652288567
48201521800,0.013087447947650209,0.3503866745984533
48201530501,0.10041265474552957,0.7166437414030261
48201532003,0.03236040609137056,0.9663705583756346
48201532301,0.13367875647668392,0.933678756476684
48201540504,0.06244796003330558,0.7560366361365529
48201541703,0.06648351648351648,0.8813186813186813
48201550201,0.11295180722891567,1.0
48201552002,0.02455661664392906,0.7175989085948158
48201211000,0.2704225352112676,0.5253521126760563
48201211400,0.18505942275042445,0.48047538200339557
48201220500,0.32799487508007685,0.7335041639974376
48201221100,0.07995951417004049,0.37044534412955465
48201222501,0.04789053591790194,0.7958950969213227
48201232600,0.0,0.21119324181626187
48201240503,0.09121338912133892,1.0
48201240504,0.1731974921630094,0.8761755485893417
48201240505,0.0429042904290429,1.0
48201311200,0.16858006042296073,0.565558912386707
48201312300,0.3728813559322034,0.5533898305084746
48201321700,0.021421616358325218,0.10223953261927946
48201333100,0.21413427561837456,0.5222614840989399
48201334002,0.0,0.9035714285714286
48201340501,0.060112359550561795,0.4606741573033708
48201340701,0.022790055248618785,0.2948895027624309
48201411700,0.06261101243339254,0.9702486678507993
48201422702,0.044064748201438846,0.2185251798561151
48201431203,0.250968992248062,0.8517441860465116
48201431206,0.19820717131474103,0.9661354581673307
48201431304,0.10959752321981424,0.908359133126935
48201431404,0.0,0.48540925266903917
48201432006,0.3167259786476868,0.9065836298932385
48201432703,0.008458646616541353,0.6879699248120301
48201511003,0.06419529837251356,0.596745027124774
48201520603,0.2757697456492637,0.8380187416331994
48201521501,0.18181818181818182,0.6578947368421053
48201522401,0.09243353783231084,0.4732106339468303
48201530400,0.037914691943127965,0.3004739336492891
48201530502,0.20197486535008977,0.526032315978456
48201530600,0.07715582450832073,0.5552193645990923
48201530701,0.31390134529147984,0.8804185351270553
48201531300,0.0841039189784236,0.7366798767062968
48201532800,0.04153354632587859,0.26677316293929715
48201550101,0.08255813953488372,0.8255813953488372
48201210400,0.1688135593220339,0.5383050847457627
48201222505,0.04509582863585118,0.133032694475761
48201250901,0.041827187671986794,0.42817831590533845
48201312603,0.09230114844746916,0.6333475116971502
48201313901,0.0,0.9335580163697641
48201314402,0.07722616233254531,0.5902285263987391
48201330101,0.015643802647412757,0.4019253910950662
48201334101,0.04681535061281897,0.8175607795860961
48201340600,0.005060728744939271,0.05668016194331984
48201340800,0.0508641975308642,0.10962962962962963
48201341302,0.030753968253968252,0.8650793650793651
48201410401,0.03778932451582428,0.4156825696740671
48201410704,0.2368766404199475,0.5479002624671916
48201410706,0.20526315789473684,0.893859649122807
48201410801,0.18363402061855671,0.6913659793814433
48201411902,0.10864197530864197,0.7308641975308642
48201412201,0.16337059329320722,0.6165090283748925
48201420600,0.034972677595628415,0.23060109289617486
48201420700,0.04369918699186992,0.11280487804878049
48201422602,0.04679552390640895,0.3611393692777213
48201430101,0.06917808219178082,0.3780821917808219
48201431204,0.1232711966325917,0.6656644618159951
48201431303,0.09702209414024976,0.74447646493756
48201431801,0.06087777253421425,0.7479943369513922
48201433300,0.02834467120181406,0.336734693877551
48201450100,0.002824858757062147,0.11440677966101695
48201450200,0.015503875968992248,0.47058823529411764
48201450500,0.04472630173564753,0.35847797062750336
48201450801,0.04113614103819784,0.7904015670910872
48201520200,0.046546546546546545,0.2424924924924925
48201520302,0.04435483870967742,0.5675403225806451
48201520604,0.04463519313304721,0.4695278969957081
48201520700,0.004705882352941176,0.1888235294117647
48201521502,0.008982035928143712,0.14271457085828343
48201530102,0.04151624548736462,0.8727436823104693
48201220600,0.17278617710583152,0.47300215982721383
48201250701,0.021286031042128603,0.15964523281596452
48201251503,0.022144522144522144,0.2680652680652681
48201310200,0.1720510894064613,0.4297520661157025
48201312000,0.10548523206751055,0.34458509142053445
48201321102,0.035175879396984924,0.0812395309882747
48201333502,0.11764705882352941,0.6163101604278075
48201340301,0.0,0.02237136465324385
48201350104,0.028051948051948054,0.5397402597402597
48201411302,0.0,0.8223713646532439
48201411504,0.05150462962962963,0.7123842592592593
48201411505,0.11901983663943991,0.7491248541423571
48201411506,0.0886339937434828,0.8409801876955162
48201422000,0.007667031763417305,0.1949616648411829
48201431101,0.07318789584799437,0.7202674173117523
48201431505,0.15248618784530388,0.38453038674033146
48201431902,0.10569620253164556,0.9158227848101266
48201451603,0.08013698630136987,0.5684931506849316
48201510100,0.02636916835699797,0.4164976335361731
48201510400,0.05403899721448468,0.35097493036211697
48201510500,0.006051437216338881,0.5578668683812406
48201510803,0.0062266500622665,0.6475716064757161
48201511001,0.045220377790498,0.4842587292501431
48201511202,0.018380241240666284,0.1935669155657668
48201511501,0.0,0.608433734939759
48201521900,0.03668683812405446,0.3880484114977307
48201522002,0.008610086100861008,0.5006150061500615
48201530200,0.08328411104548139,0.38038984051978736
48201530300,0.040289256198347105,0.4194214876033058
48201531200,0.05102675793403858,0.3341630367143746
48201531600,0.004694835680751174,0.09546165884194054
48201531700,0.0,0.14110871130309574
48201540101,0.0,0.11617021276595745
48201554809,0.040412486064659976,0.33612040133779264
48201980400,,
48201251504,0.0044444444444444444,0.03888888888888889
48201312601,0.05957230142566192,0.8335030549898167
48201313101,0.025505716798592787,0.8188214599824098
48201313202,0.1419642857142857,0.48392857142857143
48201333906,0.007792207792207792,0.03766233766233766
48201340302,0.0,0.035387673956262425
48201350601,0.047619047619047616,0.5616605616605617
48201410300,0.03251417769376182,0.7175803402646502
48201410402,0.05982905982905983,0.41737891737891736
48201410705,0.02756892230576441,0.5839598997493735
48201410900,0.0,0.6852380952380952
48201413100,0.0,0.07844827586206897
48201420300,0.005593536357986327,0.4487259167184587
48201421900,0.0,0.08919722497522299
48201422100,0.04970891177787729,0.13703537841468877
48201422302,0.06781376518218624,0.31781376518218624
48201430200,0.035667107001321,0.7159841479524438
48201430700,0.2540192926045016,0.6966773847802786
48201430800,0.022822365918600228,0.48345378470901484
48201430900,0.023322569070685324,0.2558306422676713
48201431302,0.031642116748499725,0.4206219312602291
48201431401,0.05843293492695883,0.6932270916334662
48201451604,0.08333333333333333,0.20535714285714285
48201451902,0.013437849944008958,0.032474804031354984
48201454502,0.00273224043715847,0.04781420765027322
48201454504,0.02111801242236025,0.40993788819875776
48201511004,0.021739130434782608,0.55175983436853
48201511301,0.12037765538945712,0.3772619984264359
48201511502,0.0,0.21793164669329781
48201511600,0.03357314148681055,0.4250599520383693
48201520100,0.007047216349541931,0.44608879492600423
48201522001,0.14505893019038985,0.37080689029918407
48201522102,0.0373015873015873,0.44761904761904764
48201980000,0.0,0.7272727272727273
48201980200,0.1793103448275862,0.8137931034482758
48201251505,0.008086253369272238,0.11859838274932614
48201312700,0.07323232323232323,0.5286195286195287
48201312902,0.024237685691946835,0.3377638780297107
48201330901,0.06536890170632059,0.2989665945686133
